date,hour,sym,rule,n
2025-08-28,12,EURUSD,wide,2
2025-09-01,15,EURGBP,gap,1
2025-09-01,16,USDJPY,gap,1
2025-09-03,14,GBPUSD,wide,4
2025-09-04,12,EURJPY,wide,9
2025-09-04,12,USDJPY,wide,17
2025-09-04,14,EURGBP,wide,5
2025-09-04,14,EURJPY,wide,3
2025-09-04,14,EURUSD,wide,13
2025-09-04,14,GBPUSD,wide,14
2025-09-04,14,USDJPY,wide,16
2025-09-05,12,EURGBP,wide,47
2025-09-05,12,EURJPY,wide,42
2025-09-05,12,EURUSD,wide,12
2025-09-05,12,GBPUSD,wide,15
2025-09-05,12,USDJPY,wide,23
2025-09-10,12,EURGBP,wide,4
2025-09-10,12,EURJPY,wide,10
2025-09-10,12,EURUSD,wide,9
2025-09-10,12,GBPUSD,wide,1
2025-09-10,12,USDJPY,wide,6
2025-09-11,12,EURGBP,wide,8
2025-09-11,12,EURJPY,wide,68
2025-09-11,12,EURUSD,wide,12
2025-09-11,12,USDJPY,wide,15
2025-09-16,12,EURGBP,wide,3
2025-09-16,12,USDJPY,wide,1
2025-09-18,12,EURJPY,wide,10
2025-09-23,7,EURUSD,wide,3
2025-09-23,8,GBPUSD,wide,1
2025-09-25,12,EURUSD,wide,4
2025-10-03,14,EURGBP,wide,1
2025-10-03,14,USDJPY,wide,6
2025-10-24,7,EURUSD,wide,1
2025-10-24,10,GBPUSD,gap,1
2025-10-24,12,EURGBP,wide,18
2025-10-24,12,EURJPY,wide,25
2025-10-24,12,EURUSD,wide,9
2025-10-24,12,GBPUSD,jump,1
2025-10-24,12,GBPUSD,wide,4
2025-10-24,12,USDJPY,jump,1
2025-10-24,12,USDJPY,wide,7
2025-10-24,13,GBPUSD,wide,2
2025-10-24,13,USDJPY,wide,1
2025-10-27,11,EURUSD,gap,1
2025-10-27,16,EURGBP,gap,1
2025-10-27,16,EURJPY,gap,1
2025-10-27,16,EURUSD,gap,1
2025-10-27,16,USDJPY,gap,1
2025-10-30,10,EURGBP,gap,1
2025-11-03,15,EURJPY,wide,1
2025-11-03,15,GBPUSD,wide,1
2025-11-03,15,USDJPY,wide,1
2025-11-05,11,GBPUSD,gap,1
2025-11-05,15,EURUSD,wide,1
2025-11-05,15,GBPUSD,wide,1
2025-11-05,15,USDJPY,wide,1
2025-11-06,11,EURUSD,gap,1
2025-11-18,11,EURUSD,gap,1
2025-11-20,13,EURJPY,wide,4
2025-11-20,13,USDJPY,wide,5
2025-11-26,13,EURJPY,wide,4
2025-11-26,13,EURUSD,wide,1
2025-11-27,16,EURGBP,gap,1
2025-11-27,16,EURUSD,gap,1
2025-11-27,16,GBPUSD,gap,1
2025-11-27,16,USDJPY,gap,1
2025-11-28,7,EURUSD,wide,6
2025-11-28,8,EURJPY,wide,26
2025-11-28,8,EURUSD,wide,1
2025-11-28,9,EURJPY,wide,18
2025-11-28,9,EURUSD,wide,828
2025-11-28,13,USDJPY,gap,1
2025-12-01,7,EURGBP,gap,1
2025-12-01,7,EURJPY,gap,1
2025-12-01,7,EURUSD,gap,1
2025-12-01,7,GBPUSD,gap,1
2025-12-01,7,USDJPY,gap,1
2025-12-01,15,USDJPY,wide,9
2025-12-03,13,USDJPY,wide,5
2025-12-03,15,USDJPY,wide,6
2025-12-09,15,GBPUSD,wide,1
2025-12-09,15,USDJPY,wide,1
2025-12-15,7,EURUSD,gap,1
2025-12-15,12,EURGBP,gap,1
2025-12-16,13,USDJPY,wide,6
2025-12-18,13,EURJPY,wide,13
2025-12-18,13,USDJPY,wide,4
2025-12-25,7,EURGBP,gap,15
2025-12-25,7,EURGBP,wide,177
2025-12-25,7,EURJPY,gap,16
2025-12-25,7,EURJPY,wide,59
2025-12-25,7,EURUSD,gap,13
2025-12-25,7,EURUSD,wide,172
2025-12-25,7,GBPUSD,gap,6
2025-12-25,7,GBPUSD,wide,33
2025-12-25,7,USDJPY,gap,19
2025-12-25,7,USDJPY,wide,81
